player,team,minute,second,x,y,outcome,body_part,shot_type,first_time,statsbomb_xg,goal,distance,angle,xg_baseline,xg_improved,diff_baseline_statsbomb,diff_improved_statsbomb
Luis Carlos Correia Pinto,Huesca,47,11,90.9,30.6,Off T,Left Foot,Open Play,False,0.023184594,0,30.580549373744084,0.2271025058374948,0.028267259687738956,0.01828971879318899,0.005082665687738956,-0.004894875206811009
Ousmane Dembélé,Barcelona,47,42,108.9,29.3,Goal,Left Foot,Open Play,True,0.1321927,1,15.417522498767429,0.3475370643019315,0.12220772760045928,0.1491112156625875,-0.009984972399540715,0.016918515662587508
Luis Alberto Suárez Díaz,Barcelona,50,15,112.3,28.0,Saved,Right Foot,Open Play,False,0.2068451,0,14.257980221616245,0.2885346099517267,0.13044141661439662,0.11882389911795672,-0.07640368338560338,-0.08802120088204328
Ivan Rakitić,Barcelona,51,11,108.3,55.4,Goal,Right Foot,Open Play,True,0.04555216,1,19.340372281835737,0.23314982648838203,0.08078089233453072,0.09763296279647804,0.035228732334530714,0.05208080279647804
Sergi Roberto Carnicer,Barcelona,53,34,110.7,44.9,Off T,Left Foot,Open Play,True,0.19316751,0,10.511898020814316,0.6114369459380751,0.21141606833845553,0.27714911546572696,0.01824855833845554,0.08398160546572697
Philippe Coutinho Correia,Barcelona,56,27,106.9,35.2,Saved,Right Foot,Open Play,False,0.42463356,0,13.951702405083036,0.4866138618085036,0.1498132066278114,0.14164465327053247,-0.27482035337218863,-0.2829889067294675
Philippe Coutinho Correia,Barcelona,59,2,96.6,33.2,Blocked,Right Foot,Open Play,False,0.037576083,0,24.368011818775866,0.28697223882096984,0.05270359070492872,0.04069197006084458,0.015127507704928718,0.003115887060844577
Gerard Piqué Bernabéu,Barcelona,59,42,113.9,37.5,Off T,Head,Open Play,False,0.2401919,0,6.592419889539799,0.9782122527839378,0.3340873966954882,0.1404736088634298,0.09389549669548819,-0.09971829113657021
Lionel Andrés Messi Cuccittini,Barcelona,60,40,103.4,35.2,Goal,Left Foot,Open Play,False,0.2742397,1,17.28004629623427,0.40276164519486113,0.10738760374308517,0.08987908449264992,-0.1668520962569148,-0.18436061550735006
Ivan Rakitić,Barcelona,63,46,91.4,41.6,Off T,Right Foot,Open Play,False,0.03064228,0,28.64472028140613,0.25378731395835846,0.03455587838543336,0.024678473955890866,0.003913598385433356,-0.005963806044109135
Luis Ezequiel Ávila,Huesca,72,26,92.5,58.3,Off T,Right Foot,Open Play,False,0.008128383,0,33.032408328791284,0.18465132684080127,0.021758725963393368,0.014252507169503695,0.013630342963393369,0.006124124169503696
Lionel Andrés Messi Cuccittini,Barcelona,77,23,96.5,49.4,Off T,Left Foot,Free Kick,False,0.062529676,0,25.31027459353217,0.26767837363553065,0.04769618016206562,0.08131725029282653,-0.014833495837934384,0.018787574292826528
Jordi Alba Ramos,Barcelona,80,50,111.8,31.3,Goal,Left Foot,Open Play,True,0.34831178,1,11.9553335377981,0.43392708038945244,0.17146906883112545,0.21871471516619134,-0.17684271116887457,-0.12959706483380867
Arturo Erasmo Vidal Pardo,Barcelona,86,12,101.0,47.2,Off T,Right Foot,Open Play,False,0.046713583,0,20.318464508914055,0.3350557542249995,0.07869164819004774,0.06556321027272528,0.03197806519004774,0.01884962727272528
Arturo Erasmo Vidal Pardo,Barcelona,89,2,109.4,28.0,Wayward,Right Foot,Open Play,True,0.03485745,0,16.011246047700343,0.30911813653437553,0.11351998271688028,0.14438014749863712,0.07866253271688028,0.10952269749863712
Luis Alberto Suárez Díaz,Barcelona,89,3,112.2,48.5,Off T,Head,Open Play,False,0.14165547,0,11.536463929644992,0.4450909463921748,0.17845973340503918,0.055958195881121525,0.03680426340503917,-0.08569727411887848
Luis Alberto Suárez Díaz,Barcelona,92,5,108.1,40.1,Goal,Right Foot,Penalty,False,0.7835,1,11.900420160649796,0.5967253993229291,0.18812789972984928,0.7873425652490889,-0.5953721002701506,0.0038425652490888806
Aritz Elustondo Irribaria,Real Sociedad,11,54,107.5,29.7,Goal,Left Foot,Open Play,True,0.05368826,1,16.196913286178944,0.352224939103616,0.11456141002884736,0.13863213906072872,0.060873150028847356,0.08494387906072871
Juan Miguel Jiménez López,Real Sociedad,16,26,99.4,50.9,Wayward,Right Foot,Open Play,True,0.048043124,0,23.306007809146546,0.2773009572907068,0.05779929340693705,0.06662394119889681,0.009756169406937049,0.018580817198896808
Gerard Piqué Bernabéu,Barcelona,35,5,112.8,46.7,Off T,Head,Open Play,False,0.05900116,0,9.835141076771603,0.5639314789500711,0.21729539118570648,0.0737124585324597,0.15829423118570649,0.014711298532459699
Gerard Piqué Bernabéu,Barcelona,40,51,113.1,35.4,Saved,Right Foot,Open Play,False,0.14770305,0,8.29276793356718,0.7394700600885245,0.266146152333832,0.2805000708434592,0.11844310233383198,0.13279702084345918
Ivan Rakitić,Barcelona,41,57,112.4,38.0,Off T,Head,Open Play,False,0.100465104,0,7.8587530817553946,0.8551679219374911,0.29003282586892115,0.11307071661375069,0.18956772186892115,0.012605612613750691
Mikel Oyarzabal Ugarte,Real Sociedad,53,2,105.4,34.7,Saved,Left Foot,Open Play,True,0.059299536,0,15.532224567009061,0.43857131375690145,0.1275570439434906,0.15736293194387033,0.0682575079434906,0.09806339594387033
Ousmane Dembélé,Barcelona,57,0,111.0,31.5,Wayward,Head,Open Play,False,0.045366954,0,12.379418403139947,0.4402298353031908,0.16622156278950664,0.05088390623444034,0.12085460878950664,0.005516952234440341
Mikel Oyarzabal Ugarte,Real Sociedad,58,32,109.0,53.1,Off T,Right Foot,Open Play,False,0.12567112,0,17.1058469536004,0.2807629485147398,0.10144185265923548,0.08821853735099872,-0.024229267340764513,-0.03745258264900128
Lionel Andrés Messi Cuccittini,Barcelona,59,29,97.8,43.6,Saved,Left Foot,Open Play,False,0.029981874,0,22.48999777678958,0.31876687801508063,0.06393309729630169,0.048281384361866284,0.03395122329630169,0.018299510361866285
Theo Bernard François Hernández,Real Sociedad,59,52,112.1,25.9,Saved,Left Foot,Open Play,False,0.066337906,0,16.16230181626368,0.22924076033903257,0.10689071217274881,0.08837694302077187,0.04055280617274881,0.022039037020771868
Juan Miguel Jiménez López,Real Sociedad,61,4,107.6,34.0,Saved,Right Foot,Open Play,False,0.39678013,0,13.775340286178055,0.47530804400520893,0.15106680548031826,0.14294139643803083,-0.24571332451968175,-0.2538387335619692
Gerard Piqué Bernabéu,Barcelona,62,11,115.9,45.7,Saved,Head,Open Play,False,0.09323727,0,7.021395872616782,0.6962431190166603,0.2853152522824275,0.10929192324790724,0.1920779822824275,0.01605465324790724
Luis Alberto Suárez Díaz,Barcelona,62,13,115.8,41.8,Goal,Right Foot,Open Play,True,0.57561266,1,4.569463863518346,1.331998770963254,0.43596403975596804,0.5962891762580262,-0.13964862024403196,0.020676516258026245
Philippe Coutinho Correia,Barcelona,64,38,98.1,28.9,Saved,Right Foot,Open Play,False,0.04333229,0,24.552392958732156,0.265550615539561,0.05111723375813924,0.03919199193854208,0.0077849437581392344,-0.004140298061457923
Ousmane Dembélé,Barcelona,65,8,104.8,39.4,Goal,Left Foot,Open Play,True,0.07921858,1,15.211837495845138,0.4719131339524109,0.1336242296692122,0.16613447070083817,0.0544056496692122,0.08691589070083817
Luis Alberto Suárez Díaz,Barcelona,70,18,112.4,49.3,Off T,Left Foot,Open Play,True,0.08263005,0,12.010412149464308,0.4019928496690034,0.16773501483980016,0.2130937836810926,0.08510496483980017,0.1304637336810926
Lionel Andrés Messi Cuccittini,Barcelona,78,37,97.6,47.7,Off T,Left Foot,Open Play,False,0.038261805,0,23.68649404196409,0.2909067017789221,0.056277642517198335,0.04143061429691309,0.018015837517198333,0.003168809296913086
Juan Miguel Jiménez López,Real Sociedad,85,42,109.6,39.7,Off T,Head,Open Play,False,0.1446939,0,10.404326023342412,0.6763105674291481,0.2204628491252124,0.07576352984376748,0.07576894912521243,-0.0689303701562325
Luis Alberto Suárez Díaz,Barcelona,91,44,106.6,41.4,Blocked,Right Foot,Open Play,False,0.10335443,0,13.472935834479438,0.5281429367947678,0.15953598238238606,0.1529054243202389,0.05618155238238606,0.049550994320238906
Mikel Merino Zazón,Real Sociedad,92,24,87.5,44.7,Blocked,Left Foot,Open Play,False,0.019898059,0,32.838087642248595,0.21978334562392415,0.02267699173379719,0.014104052570326753,0.002778932733797191,-0.005794006429673246
Bernardo José Espinosa Zúñiga,Girona,4,45,110.7,33.4,Saved,Head,Open Play,False,0.04248853,0,11.403946685248926,0.5282509580615691,0.18864451792592965,0.06063427874583957,0.14615598792592965,0.018145748745839574
Sergio Busquets i Burgos,Barcelona,8,28,110.6,31.8,Off T,Right Foot,Open Play,True,0.0820779,0,12.473972903610145,0.4506580175346815,0.1658931815594798,0.22167956954786605,0.0838152815594798,0.13960166954786607
Lionel Andrés Messi Cuccittini,Barcelona,11,14,105.2,32.2,Saved,Left Foot,Open Play,False,0.20269015,0,16.729614460590533,0.386129733847038,0.11157429996402675,0.09395855437632279,-0.09111585003597326,-0.10873159562367722
Lionel Andrés Messi Cuccittini,Barcelona,18,20,105.4,41.7,Goal,Left Foot,Open Play,True,0.2065906,1,14.698639392814556,0.48529595576064977,0.1406209791070934,0.17604808285935605,-0.06596962089290662,-0.03054251714064396
Luis Alberto Suárez Díaz,Barcelona,20,42,106.1,25.6,Saved,Right Foot,Open Play,False,0.069064945,0,20.014244927051337,0.25698551004155323,0.07712503256381628,0.06368778027957547,0.008060087563816279,-0.005377164720424529
Marc Muniesa Martínez,Girona,26,2,100.9,21.7,Off T,Left Foot,Open Play,False,0.010763071,0,26.45184303597766,0.20096720723999179,0.041090319800831256,0.028382111351671402,0.030327248800831257,0.017619040351671403
Ousmane Dembélé,Barcelona,27,52,97.6,29.9,Saved,Right Foot,Open Play,False,0.036971256,0,24.571731725704648,0.27090771200792507,0.05119718077254389,0.039278866411526246,0.014225924772543891,0.0023076104115262452
Cristian Portugués Manzanera,Girona,28,13,114.0,51.8,Blocked,Right Foot,Open Play,False,0.11886153,0,13.237824594698328,0.26498994787845176,0.14031817950559888,0.12933119889571285,0.021456649505598877,0.010469668895712839
Francesc Aday Benítez Caraballo,Girona,36,18,87.4,45.2,Saved,Right Foot,Free Kick,False,0.028683474,0,33.012118986820575,0.2181651733082285,0.022278727670576207,0.036126000351945485,-0.006404746329423793,0.0074425263519454846
Lionel Andrés Messi Cuccittini,Barcelona,39,34,92.6,27.1,Saved,Left Foot,Free Kick,False,0.031941224,0,30.284814676665935,0.21838344267714607,0.02891205271674546,0.045889091316950355,-0.0030291712832545385,0.013947867316950358
Luis Alberto Suárez Díaz,Barcelona,41,23,100.5,30.8,Blocked,Right Foot,Open Play,False,0.04499091,0,21.561307938063496,0.3062067627085348,0.06906516826485762,0.056080272058811706,0.024074258264857616,0.011089362058811704
Cristhian Ricardo Stuani Curbelo,Girona,44,29,113.3,46.6,Goal,Right Foot,Open Play,False,0.3684687,1,9.404786015641188,0.5787939266561011,0.22627015856329735,0.23068429944169463,-0.14219854143670263,-0.13778440055830535
Arthur Henrique Ramos de Oliveira Melo,Barcelona,47,8,107.7,36.5,Saved,Head,Open Play,False,0.062174533,0,12.788275880665068,0.5401714668127042,0.16985844874210082,0.05272582379016613,0.10768391574210082,-0.009448709209833865
Luis Alberto Suárez Díaz,Barcelona,48,44,104.7,36.8,Blocked,Left Foot,Open Play,False,0.07070966,0,15.631058825300348,0.4515505761272451,0.12743425122384539,0.11050707696480176,0.05672459122384539,0.03979741696480177
Cristian Portugués Manzanera,Girona,50,16,110.9,30.1,Saved,Right Foot,Open Play,False,0.41140586,0,13.44693273575799,0.37866291305555333,0.14704371775949332,0.13764517242911223,-0.2643621422405067,-0.2737606875708878
Cristhian Ricardo Stuani Curbelo,Girona,50,17,102.9,31.2,Goal,Right Foot,Open Play,True,0.08853115,1,19.23148460207895,0.3377065365395213,0.08690888018519247,0.10685708490037794,-0.0016222698148075365,0.01832593490037794
